Container Name	Plate ID	Description	ContainerType	AppType	Owner	Operator	PlateSealing	SchedulingPref
Lami_9-8-22	Lami_9-8-22		96-Well	Regular	C	C	Septa	1234
AppServer	AppInstance							
SequencingAnalysis								
Well	Sample Name	Comment	Results Group 1	Instrument Protocol 1	Analysis Protocol 1			
A01	Hend_pZASseq8_Rog1-2-3_PCR_2600_1		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
B01	Hend_pZASseq8_Rog1-1-1_PCR_2600_2		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
C01	Hend_pZASseq8_Q-1_PCR_2600_3		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
D01	Hend_pZASseq8_Q-2_PCR_2600_4		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
E01	Hend_pZASseq8_Q-3_PCR_2600_5		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
F01	Hend_pZASseq8_X2-6-1_PCR_2600_6		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
G01	Hend_pZASseq8_X2-6-2_PCR_2600_7		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
H01	Hend_pZASseq8_X2-6-3_PCR_2600_8		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
A02	Hend_pZASseq8_I2-2-1_PCR_2600_9		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
B02	Hend_pZASseq8_I2-2-2_PCR_2600_10		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
C02	Hend_pZASseq8_I2-2-3_PCR_2600_11		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
D02	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
E02	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
F02	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
G02	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
H02	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
A03	Lami_E1-F1_AF_PCR_700_12		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
B03	Lami_E1-R1_AR_PCR_700_13		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
C03	Lami_E1-F1_BF_PCR_700_14		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
D03	Lami_E1-R1_BR_PCR_700_15		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
E03	Lami_E2-F1_CF_PCR_700_16		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
F03	Lami_E2-R1_CR_PCR_700_17		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
G03	Lami_E2-F1_DF_PCR_700_18		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
H03	Lami_E2-R1_DR_PCR_700_19		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
A04	Lami_E3-F2_EF_PCR_700_20		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
B04	Lami_E3-R2_ER_PCR_700_21		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
C04	Lami_E3-F2_FF_PCR_700_22		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
D04	Lami_E3-R2_FR_PCR_700_23		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
E04	Lami_E4-5-F2_GF_PCR_700_24		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
F04	Lami_E4-5-R2_GR_PCR_700_25		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
G04	Lami_E4-5-F2_HF_PCR_700_26		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
H04	Lami_E4-5-R2_HR_PCR_700_27		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
A05	Lami_E5-6-F3_IF_PCR_700_28		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
B05	Lami_E5-6-R3_IR_PCR_700_29		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
C05	Lami_E5-6-F3_JF_PCR_700_30		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
D05	Lami_E5-6-R3_JR_PCR_700_31		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
E05	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
F05	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
G05	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
H05	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
A06	Anan_PolyHed-F_S2_Plas_1500_32		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
B06	Anan_PolyHed-F_Scr1_Plas_5000_33		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
